Folio 01 recto,Column A,Line 01
Folio 01 recto,Column A,Line 02
Folio 01 recto,Column A,Line 03
Folio 01 recto,Column A,Line 04
Folio 01 recto,Column A,Line 01
Folio 01 recto,Column A,Line 02
Folio 01 recto,Column A,Line 03
Folio 01 recto,Column A,Line 04
Folio 01 recto,Column A,Line 01
Folio 01 recto,Column A,Line 02
Folio 01 recto,Column A,Line 03
Folio 01 recto,Column A,Line 04
Folio 01 recto,Column A,Line 01
Folio 01 recto,Column A,Line 02
Folio 01 recto,Column A,Line 03
Folio 01 recto,Column A,Line 04
Folio 01 recto,Column A,Line 01
Folio 01 recto,Column A,Line 02
Folio 01 recto,Column A,Line 03
Folio 01 recto,Column A,Line 04
Folio 01 recto,Column A,Line 01
Folio 01 recto,Column A,Line 02
Folio 01 recto,Column A,Line 03
Folio 01 recto,Column A,Line 04
Folio 01 recto,Column A,Line 05
Folio 01 recto,Column A,Line 06
Folio 01 recto,Column A,Line 07
Folio 01 recto,Column A,Line 08
Folio 01 recto,Column A,Line 09
Folio 01 recto,Column A,Line 10
Folio 01 recto,Column A,Line 11
Folio 01 recto,Column A,Line 12
Folio 01 recto,Column A,Line 13
Folio 01 recto,Column A,Line 14
Folio 01 recto,Column A,Line 15
Folio 01 recto,Column A,Line 16
Folio 01 recto,Column A,Line 17
Folio 01 recto,Column A,Line 18
Folio 01 recto,Column A,Line 19
Folio 01 recto,Column A,Line 20
Folio 01 recto,Column A,Line 21
Folio 01 recto,Column A,Line 22
Folio 01 recto,Column A,Line 23
Folio 01 recto,Column A,Line 24
Folio 01 recto,Column A,Line 25
Folio 01 recto,Column A,Line 26
Folio 01 recto,Column A,Line 27
Folio 01 recto,Column A,Line 28
Folio 01 recto,Column A,Line 29
Folio 01 recto,Column A,Line 30
Folio 01 recto,Column A,Line 31
Folio 01 recto,Column A,Line 32
Folio 01 recto,Column A,Line 33
Folio 01 recto,Column A,Line 34
Folio 01 recto,Column A,Line 35
Folio 01 recto,Column A,Line 36
Folio 01 recto,Column A,Line 37
Folio 01 recto,Column A,Line 38
Folio 01 recto,Column A,Line 39
Folio 01 recto,Column A,Line 40
Folio 01 recto,Column A,Line 41
Folio 01 recto,Column A,Line 42
Folio 01 recto,Column A,Line 43
Folio 01 recto,Column A,Line 44
Folio 01 recto,Column A,Line 45
Folio 01 recto,Column A,Line 46
Folio 01 recto,Column B,Line 01
Folio 01 recto,Column B,Line 02
Folio 01 recto,Column B,Line 03
Folio 01 recto,Column B,Line 04
Folio 01 recto,Column B,Line 05
Folio 01 recto,Column B,Line 06
Folio 01 recto,Column B,Line 07
Folio 01 recto,Column B,Line 08
Folio 01 recto,Column B,Line 09
Folio 01 recto,Column B,Line 10
Folio 01 recto,Column B,Line 11
Folio 01 recto,Column B,Line 12
Folio 01 recto,Column B,Line 13
Folio 01 recto,Column B,Line 14
Folio 01 recto,Column B,Line 15
Folio 01 recto,Column B,Line 16
Folio 01 recto,Column B,Line 17
Folio 01 recto,Column B,Line 18
Folio 01 recto,Column B,Line 19
Folio 01 recto,Column B,Line 20
Folio 01 recto,Column B,Line 21
Folio 01 recto,Column B,Line 22
Folio 01 recto,Column B,Line 23
Folio 01 recto,Column B,Line 24
Folio 01 recto,Column B,Line 25
Folio 01 recto,Column B,Line 26
Folio 01 recto,Column B,Line 27
Folio 01 recto,Column B,Line 28
Folio 01 recto,Column B,Line 29
Folio 01 recto,Column B,Line 30
Folio 01 recto,Column B,Line 31
Folio 01 recto,Column B,Line 32
Folio 01 recto,Column B,Line 33
Folio 01 recto,Column B,Line 34
Folio 01 recto,Column B,Line 35
Folio 01 recto,Column B,Line 36
Folio 01 recto,Column B,Line 37
Folio 01 recto,Column B,Line 38
Folio 01 recto,Column B,Line 39
Folio 01 recto,Column B,Line 40
Folio 01 recto,Column B,Line 41
Folio 01 recto,Column B,Line 42
Folio 01 recto,Column B,Line 43
Folio 01 recto,Column B,Line 44
Folio 01 recto,Column B,Line 45
Folio 01 recto,Column B,Line 46
Folio 01 verso,Column A,Line 01
Folio 01 verso,Column A,Line 02
Folio 01 verso,Column A,Line 03
Folio 01 verso,Column A,Line 04
Folio 01 verso,Column A,Line 05
Folio 01 verso,Column A,Line 06
Folio 01 verso,Column A,Line 07
Folio 01 verso,Column A,Line 08
Folio 01 verso,Column A,Line 09
Folio 01 verso,Column A,Line 10
Folio 01 verso,Column A,Line 11
Folio 01 verso,Column A,Line 12
Folio 01 verso,Column A,Line 13
Folio 01 verso,Column A,Line 14
Folio 01 verso,Column A,Line 15
Folio 01 verso,Column A,Line 16
Folio 01 verso,Column A,Line 17
Folio 01 verso,Column A,Line 18
Folio 01 verso,Column A,Line 19
Folio 01 verso,Column A,Line 20
Folio 01 verso,Column A,Line 21
Folio 01 verso,Column A,Line 22
Folio 01 verso,Column A,Line 23
Folio 01 verso,Column A,Line 24
Folio 01 verso,Column A,Line 25
Folio 01 verso,Column A,Line 26
Folio 01 verso,Column A,Line 27
Folio 01 verso,Column A,Line 28
Folio 01 verso,Column A,Line 29
Folio 01 verso,Column A,Line 30
Folio 01 verso,Column A,Line 31
Folio 01 verso,Column A,Line 32
Folio 01 verso,Column A,Line 33
Folio 01 verso,Column A,Line 34
Folio 01 verso,Column A,Line 35
Folio 01 verso,Column A,Line 36
Folio 01 verso,Column A,Line 37
Folio 01 verso,Column A,Line 38
Folio 01 verso,Column A,Line 39
Folio 01 verso,Column A,Line 40
Folio 01 verso,Column A,Line 41
Folio 01 verso,Column A,Line 42
Folio 01 verso,Column A,Line 43
Folio 01 verso,Column A,Line 44
Folio 01 verso,Column A,Line 45
Folio 01 verso,Column A,Line 46
Folio 01 verso,Column B,Line 01
Folio 01 verso,Column B,Line 02
Folio 01 verso,Column B,Line 03
Folio 01 verso,Column B,Line 04
Folio 01 verso,Column B,Line 05
Folio 01 verso,Column B,Line 06
Folio 01 verso,Column B,Line 07
Folio 01 verso,Column B,Line 08
Folio 01 verso,Column B,Line 09
Folio 01 verso,Column B,Line 10
Folio 01 verso,Column B,Line 11
Folio 01 verso,Column B,Line 12
Folio 01 verso,Column B,Line 13
Folio 01 verso,Column B,Line 14
Folio 01 verso,Column B,Line 15
Folio 01 verso,Column B,Line 16
Folio 01 verso,Column B,Line 17
Folio 01 verso,Column B,Line 18
Folio 01 verso,Column B,Line 19
Folio 01 verso,Column B,Line 20
Folio 01 verso,Column B,Line 21
Folio 01 verso,Column B,Line 22
Folio 01 verso,Column B,Line 23
Folio 01 verso,Column B,Line 24
Folio 01 verso,Column B,Line 25
Folio 01 verso,Column B,Line 26
Folio 01 verso,Column B,Line 27
Folio 01 verso,Column B,Line 28
Folio 01 verso,Column B,Line 29
Folio 01 verso,Column B,Line 30
Folio 01 verso,Column B,Line 31
Folio 01 verso,Column B,Line 32
Folio 01 verso,Column B,Line 33
Folio 01 verso,Column B,Line 34
Folio 01 verso,Column B,Line 35
Folio 01 verso,Column B,Line 36
Folio 01 verso,Column B,Line 37
Folio 01 verso,Column B,Line 38
Folio 01 verso,Column B,Line 39
Folio 01 verso,Column B,Line 40
Folio 01 verso,Column B,Line 41
Folio 01 verso,Column B,Line 42
Folio 01 verso,Column B,Line 43
Folio 01 verso,Column B,Line 44
Folio 01 verso,Column B,Line 45
Folio 02 recto,Column A,Line 01
Folio 02 recto,Column A,Line 02
Folio 02 recto,Column A,Line 03
Folio 02 recto,Column A,Line 04
Folio 02 recto,Column A,Line 05
